Police District1,Quarter of Year Month1,ANZSOC Division1,Proceedings
Wellington,2021 Q4,"Unlawful Entry With Intent/Burglary, Break and Enter",86
Wellington,2022 Q1,"Unlawful Entry With Intent/Burglary, Break and Enter",56
Wellington,2022 Q2,"Unlawful Entry With Intent/Burglary, Break and Enter",67
Wellington,2017 Q3,Theft and Related Offences,142
Wellington,2017 Q4,Theft and Related Offences,362
Wellington,2018 Q1,Theft and Related Offences,319
Wellington,2018 Q2,Theft and Related Offences,392
Wellington,2018 Q3,Theft and Related Offences,312
Wellington,2018 Q4,Theft and Related Offences,409
Wellington,2019 Q1,Theft and Related Offences,403
Wellington,2019 Q2,Theft and Related Offences,435
Wellington,2019 Q3,Theft and Related Offences,290
Wellington,2019 Q4,Theft and Related Offences,503
Wellington,2020 Q1,Theft and Related Offences,394
Wellington,2020 Q2,Theft and Related Offences,321
Wellington,2020 Q3,Theft and Related Offences,234
Wellington,2020 Q4,Theft and Related Offences,280
Wellington,2021 Q1,Theft and Related Offences,296
Wellington,2021 Q2,Theft and Related Offences,254
Wellington,2021 Q3,Theft and Related Offences,147
Wellington,2021 Q4,Theft and Related Offences,251
Wellington,2022 Q1,Theft and Related Offences,276
Wellington,2022 Q2,Theft and Related Offences,336
Wellington,2017 Q3,"Robbery, Extortion and Related Offences",12
Wellington,2017 Q4,"Robbery, Extortion and Related Offences",29
Wellington,2018 Q1,"Robbery, Extortion and Related Offences",18
Wellington,2018 Q2,"Robbery, Extortion and Related Offences",22
Wellington,2018 Q3,"Robbery, Extortion and Related Offences",9
Wellington,2018 Q4,"Robbery, Extortion and Related Offences",22
Wellington,2019 Q1,"Robbery, Extortion and Related Offences",38
Wellington,2019 Q2,"Robbery, Extortion and Related Offences",35
Wellington,2019 Q3,"Robbery, Extortion and Related Offences",22
Wellington,2019 Q4,"Robbery, Extortion and Related Offences",25
Wellington,2020 Q1,"Robbery, Extortion and Related Offences",39
Wellington,2020 Q2,"Robbery, Extortion and Related Offences",30
Wellington,2020 Q3,"Robbery, Extortion and Related Offences",24
Wellington,2020 Q4,"Robbery, Extortion and Related Offences",25
Wellington,2021 Q1,"Robbery, Extortion and Related Offences",29
Wellington,2021 Q2,"Robbery, Extortion and Related Offences",11
Wellington,2021 Q3,"Robbery, Extortion and Related Offences",21
Wellington,2021 Q4,"Robbery, Extortion and Related Offences",21
Wellington,2022 Q1,"Robbery, Extortion and Related Offences",14
Wellington,2022 Q2,"Robbery, Extortion and Related Offences",23
